lat,long,time
51.337478,-0.252338,2023-01-13 16:12:05+00:00
51.337461,-0.252371,2023-01-13 16:12:06+00:00
51.337443,-0.252407,2023-01-13 16:12:07+00:00
51.337431,-0.25244,2023-01-13 16:12:08+00:00
51.337417,-0.252472,2023-01-13 16:12:09+00:00
51.337402,-0.25251,2023-01-13 16:12:10+00:00
51.337387,-0.25254,2023-01-13 16:12:11+00:00
51.337369,-0.252575,2023-01-13 16:12:12+00:00
51.33735,-0.252611,2023-01-13 16:12:13+00:00
51.337332,-0.25266,2023-01-13 16:12:14+00:00
51.337319,-0.252704,2023-01-13 16:12:15+00:00
51.3373,-0.252748,2023-01-13 16:12:16+00:00
51.337284,-0.252767,2023-01-13 16:12:17+00:00
51.337266,-0.252759,2023-01-13 16:12:18+00:00
51.337246,-0.25274,2023-01-13 16:12:19+00:00
51.337221,-0.252711,2023-01-13 16:12:20+00:00
51.337198,-0.252686,2023-01-13 16:12:21+00:00
51.33717,-0.252656,2023-01-13 16:12:22+00:00
51.337141,-0.252634,2023-01-13 16:12:23+00:00
51.337111,-0.252607,2023-01-13 16:12:24+00:00
51.337085,-0.252579,2023-01-13 16:12:25+00:00
51.337055,-0.252554,2023-01-13 16:12:26+00:00
51.337025,-0.252535,2023-01-13 16:12:27+00:00
51.337003,-0.252514,2023-01-13 16:12:28+00:00
51.336979,-0.252491,2023-01-13 16:12:29+00:00
51.336957,-0.25247,2023-01-13 16:12:30+00:00
51.336931,-0.252449,2023-01-13 16:12:31+00:00
51.336905,-0.252426,2023-01-13 16:12:32+00:00
51.336877,-0.252403,2023-01-13 16:12:33+00:00
51.336851,-0.252379,2023-01-13 16:12:34+00:00
51.336828,-0.252342,2023-01-13 16:12:35+00:00
51.336817,-0.252306,2023-01-13 16:12:36+00:00
51.336824,-0.25226,2023-01-13 16:12:37+00:00
51.336837,-0.252232,2023-01-13 16:12:38+00:00
51.33686,-0.252179,2023-01-13 16:12:39+00:00
51.336878,-0.252142,2023-01-13 16:12:40+00:00
51.336901,-0.252098,2023-01-13 16:12:41+00:00
51.336918,-0.252059,2023-01-13 16:12:42+00:00
51.336942,-0.252017,2023-01-13 16:12:43+00:00
51.336963,-0.251972,2023-01-13 16:12:44+00:00
51.336987,-0.251925,2023-01-13 16:12:45+00:00
51.337003,-0.251878,2023-01-13 16:12:46+00:00
51.337019,-0.251835,2023-01-13 16:12:47+00:00
51.337034,-0.251792,2023-01-13 16:12:48+00:00
51.337052,-0.251752,2023-01-13 16:12:49+00:00
51.337069,-0.25171,2023-01-13 16:12:50+00:00
51.337083,-0.251677,2023-01-13 16:12:51+00:00
51.337099,-0.251629,2023-01-13 16:12:52+00:00
51.337113,-0.251588,2023-01-13 16:12:53+00:00
51.337129,-0.251544,2023-01-13 16:12:54+00:00
51.337146,-0.251511,2023-01-13 16:12:55+00:00
51.337157,-0.251491,2023-01-13 16:12:56+00:00
51.337169,-0.251483,2023-01-13 16:12:57+00:00
51.337167,-0.251506,2023-01-13 16:12:58+00:00
51.337148,-0.251554,2023-01-13 16:12:59+00:00
51.337122,-0.251607,2023-01-13 16:13:00+00:00
51.337098,-0.251655,2023-01-13 16:13:01+00:00
51.33708,-0.251693,2023-01-13 16:13:02+00:00
51.337059,-0.251739,2023-01-13 16:13:03+00:00
51.337041,-0.251772,2023-01-13 16:13:04+00:00
51.337022,-0.251812,2023-01-13 16:13:05+00:00
51.337004,-0.251847,2023-01-13 16:13:06+00:00
