start_lat,start_long,total_time,total_distance,velocity
51.337574,-0.252147,1.0,4.1563570170078785,4.1563570170078785
51.337594,-0.252119,1.0,2.9594550547127887,2.9594550547127887
51.337621,-0.252087,1.0,3.7411379690851554,3.7411379690851554
51.337647,-0.252063,1.0,3.341329493008168,3.341329493008168
51.337682,-0.252031,1.0,4.4872484548847,4.4872484548847
51.337704,-0.252012,1.0,2.7827822420743225,2.7827822420743225
51.337733,-0.251977,1.0,4.044563060674771,4.044563060674771
51.337747,-0.251938,1.0,3.1324707685541284,3.1324707685541284
51.337755,-0.251885,1.0,3.7991281485637374,3.7991281485637374
51.337747,-0.251834,1.0,3.663778734923045,3.663778734923045
51.337726,-0.251794,1.0,3.637105203310079,3.637105203310079
51.337694,-0.251776,1.0,3.7746664642131518,3.7746664642131518
51.337665,-0.251775,1.0,3.2271398144716947,3.2271398144716947
51.337639,-0.2518,1.0,3.3767496110900086,3.3767496110900086
51.337612,-0.251837,1.0,3.95872769788733,3.95872769788733
51.337601,-0.251893,1.0,4.089864101585506,4.089864101585506
51.337588,-0.251939,1.0,3.5167759065355306,3.5167759065355306
51.337578,-0.251993,1.0,3.9241166039071196,3.9241166039071196
51.337564,-0.252044,1.0,3.880363224982598,3.880363224982598
51.337554,-0.252093,1.0,3.5913390357572132,3.5913390357572132
51.337543,-0.252136,1.0,3.236815950661386,3.236815950661386
51.337533,-0.252184,1.0,3.525147666891666,3.525147666891666
51.337524,-0.252223,1.0,2.8963796632083247,2.8963796632083247
51.337508,-0.252269,1.0,3.666687928417601,3.666687928417601
51.337494,-0.252301,1.0,2.720085855369353,2.720085855369353
51.337478,-0.252338,1.0,3.1332017019272427,3.1332017019272427
51.337461,-0.252371,1.0,2.977524508596333,2.977524508596333
51.337443,-0.252407,1.0,3.210004616705992,3.210004616705992
51.337431,-0.25244,1.0,2.659117421035016,2.659117421035016
51.337417,-0.252472,1.0,2.7200889062065086,2.7200889062065086
51.337402,-0.25251,1.0,3.1300947401253607,3.1300947401253607
51.337387,-0.25254,1.0,2.675005880569364,2.675005880569364
51.337369,-0.252575,1.0,3.1558438535631312,3.1558438535631312
51.33735,-0.252611,1.0,3.280568028846747,3.280568028846747
51.337332,-0.25266,1.0,3.958587155179654,3.958587155179654
51.337319,-0.252704,1.0,3.3902347452656545,3.3902347452656545
51.3373,-0.252748,1.0,3.724271760392764,3.724271760392764
51.337284,-0.252767,1.0,2.2185154235783857,2.2185154235783857
51.337266,-0.252759,1.0,2.078738441497741,2.078738441497741
51.337246,-0.25274,1.0,2.5892450350481373,2.5892450350481373
51.337221,-0.252711,1.0,3.4380528467474227,3.4380528467474227
51.337198,-0.252686,1.0,3.0956398099576696,3.0956398099576696
51.33717,-0.252656,1.0,3.751637309858472,3.751637309858472
51.337141,-0.252634,1.0,3.5721225228742783,3.5721225228742783
51.337111,-0.252607,1.0,3.831469057606868,3.831469057606868
51.337085,-0.252579,1.0,3.4892227304213783,3.4892227304213783
51.337055,-0.252554,1.0,3.7649832071293905,3.7649832071293905
51.337025,-0.252535,1.0,3.5906841466569506,3.5906841466569506
51.337003,-0.252514,1.0,2.851743309164502,2.851743309164502
51.336979,-0.252491,1.0,3.1142489566927476,3.1142489566927476
51.336957,-0.25247,1.0,2.851744044201734,2.851744044201734
51.336931,-0.252449,1.0,3.241750755980678,3.241750755980678
51.336905,-0.252426,1.0,3.3070101048395437,3.3070101048395437
51.336877,-0.252403,1.0,3.5032985825476572,3.5032985825476572
51.336851,-0.252379,1.0,3.341343186101922,3.341343186101922
51.336828,-0.252342,1.0,3.632661207098367,3.632661207098367
51.336817,-0.252306,1.0,2.7913519752946545,2.7913519752946545
51.336824,-0.25226,1.0,3.2989005489262393,3.2989005489262393
51.336837,-0.252232,1.0,2.42884114055854,2.42884114055854
51.33686,-0.252179,1.0,4.493272749832113,4.493272749832113
51.336878,-0.252142,1.0,3.264783054175421,3.264783054175421
51.336901,-0.252098,1.0,3.9937213546577603,3.9937213546577603
51.336918,-0.252059,1.0,3.3111564989724744,3.3111564989724744
51.336942,-0.252017,1.0,3.9618476363195856,3.9618476363195856
51.336963,-0.251972,1.0,3.9105979064818963,3.9105979064818963
51.336987,-0.251925,1.0,4.225792754449971,4.225792754449971
51.337003,-0.251878,1.0,3.7277981313602044,3.7277981313602044
51.337019,-0.251835,1.0,3.485421785762345,3.485421785762345
51.337034,-0.251792,1.0,3.429934836509505,3.429934836509505
51.337052,-0.251752,1.0,3.432285925832082,3.432285925832082
51.337069,-0.25171,1.0,3.4847974565000692,3.4847974565000692
51.337083,-0.251677,1.0,2.777521235312752,2.777521235312752
51.337099,-0.251629,1.0,3.7891676173443423,3.7891676173443423
51.337113,-0.251588,1.0,3.254166290451676,3.254166290451676
51.337129,-0.251544,1.0,3.545508077288849,3.545508077288849
51.337146,-0.251511,1.0,2.9775372704767262,2.9775372704767262
51.337157,-0.251491,1.0,1.8547889616434245,1.8547889616434245
51.337169,-0.251483,1.0,1.4467841491391917,1.4467841491391917
51.337167,-0.251506,1.0,1.6181878955473048,1.6181878955473048
51.337148,-0.251554,1.0,3.9569443241212503,3.9569443241212503
51.337122,-0.251607,1.0,4.691357989645576,4.691357989645576
51.337098,-0.251655,1.0,4.280025511083266,4.280025511083266
51.33708,-0.251693,1.0,3.3200864909855388,3.3200864909855388
51.337059,-0.251739,1.0,3.9666935876958487,3.9666935876958487
51.337041,-0.251772,1.0,3.049420387235741,3.049420387235741
51.337022,-0.251812,1.0,3.49836565336067,3.49836565336067
51.337004,-0.251847,1.0,3.1558587453315,3.1558587453315
51.336984,-0.2519,1.0,4.3119255392696205,4.3119255392696205
51.336969,-0.251934,1.0,2.898098954017636,2.898098954017636
51.336951,-0.251973,1.0,3.3759380401575894,3.3759380401575894
51.336936,-0.252009,1.0,3.0131187368229324,3.0131187368229324
51.336916,-0.252053,1.0,3.788546337431226,3.788546337431226
51.336899,-0.252085,1.0,2.924057623145347,2.924057623145347
51.336882,-0.252126,1.0,3.4264839993631613,3.4264839993631613
51.336865,-0.252172,1.0,3.7220086221661997,3.7220086221661997
51.336847,-0.252215,1.0,3.60415081213506,3.60415081213506
51.336832,-0.252253,1.0,3.1301224364379916,3.1301224364379916
51.336816,-0.252293,1.0,3.307413306097364,3.307413306097364
51.336797,-0.252331,1.0,3.3883671280327854,3.3883671280327854
51.336779,-0.252346,1.0,2.2589928057399824,2.2589928057399824
51.336756,-0.252345,1.0,2.5598072806098773,2.5598072806098773
51.336735,-0.252326,1.0,2.6854627207746335,2.6854627207746335
51.336714,-0.2523,1.0,2.9566025732274395,2.9566025732274395
51.336689,-0.252271,1.0,3.4380663921751173,3.4380663921751173
51.336667,-0.252241,1.0,3.218942918183842,3.218942918183842
51.336642,-0.252213,1.0,3.3975710824067726,3.3975710824067726
51.336615,-0.252187,1.0,3.5080285714686936,3.5080285714686936
51.33659,-0.252159,1.0,3.397572329318858,3.397572329318858
51.336563,-0.252132,1.0,3.544526222977507,3.544526222977507
51.336535,-0.252105,1.0,3.6392909902532944,3.6392909902532944
51.336507,-0.252079,1.0,3.603754721377973,3.603754721377973
51.336482,-0.252052,1.0,3.3580361775560097,3.3580361775560097
51.336452,-0.252024,1.0,3.8661819444099157,3.8661819444099157
51.336432,-0.252001,1.0,2.7422886592875044,2.7422886592875044
51.336407,-0.251973,1.0,3.3975767214276225,3.3975767214276225
51.336385,-0.251952,1.0,2.8517531835149517,2.8517531835149517
51.336356,-0.251928,1.0,3.6341352036926353,3.6341352036926353
51.33633,-0.251909,1.0,3.1812699371866993,3.1812699371866993
51.336304,-0.251884,1.0,3.376775151243077,3.376775151243077
51.336279,-0.251867,1.0,3.0231691722058938,3.0231691722058938
51.336255,-0.251845,1.0,3.0789739117048645,3.0789739117048645
51.336224,-0.251822,1.0,3.8031577115796464,3.8031577115796464
51.336195,-0.2518,1.0,3.5721355948751117,3.5721355948751117
51.33616,-0.251777,1.0,4.210903014500608,4.210903014500608
51.336132,-0.251752,1.0,3.569231619026613,3.569231619026613
51.336103,-0.251719,1.0,3.9621209071078503,3.9621209071078503
51.336086,-0.251685,1.0,3.031725442610592,3.031725442610592
51.336075,-0.251638,1.0,3.4965593885854056,3.4965593885854056
51.336073,-0.251594,1.0,3.0743937955617646,3.0743937955617646
51.336081,-0.251539,1.0,3.9348944590930506,3.9348944590930506
51.336095,-0.251499,1.0,3.19320752098288,3.19320752098288
51.336111,-0.251459,1.0,3.3074500412387557,3.3074500412387557
51.336126,-0.251426,1.0,2.841442316736945,2.841442316736945
51.336148,-0.251382,1.0,3.9234071921433493,3.9234071921433493
51.336161,-0.251345,1.0,2.956431061274833,2.956431061274833
51.33618,-0.251305,1.0,3.498407072352396,3.498407072352396
51.336202,-0.251256,1.0,4.201358318328555,4.201358318328555
51.336223,-0.251215,1.0,3.690857530225723,3.690857530225723
51.336246,-0.251168,1.0,4.156431233568902,4.156431233568902
51.336268,-0.251125,1.0,3.8691800046050364,3.8691800046050364
51.336291,-0.251075,1.0,4.323096000650013,4.323096000650013
51.336309,-0.251039,1.0,3.2100535120673914,3.2100535120673914
51.33633,-0.250994,1.0,3.9106323882853524,3.9106323882853524
51.336348,-0.250957,1.0,3.264806423467835,3.264806423467835
